0,2016.10.13 10:46,7月23日，北京八达岭野生动物园发生老虎伤人事故致一死一伤。32岁游客赵女士在东北虎园下车时，被老虎拖走受伤，其母周女士下车追女儿时遭老虎撕咬死亡。昨日，伤者赵女士讲述事发经过时称，自己因为坐车晕车，下车去往驾驶室被咬伤，并非因为吵架。昨天晚上，赵女士接受京华时报记者电话采访时回忆，事发当天早上，她开着 车去给车做了保养，并且一路开车到八达岭野生动物园，加上路上堵车，自己非常累。于是，进入动物园后，就让爱人开车，但由于爱人开车不熟练，并且当时正处 于上坡地段，自己有点晕车。赵女士说，由于自己开车不晕坐车晕，所以提出要开车，便下车去往驾驶室。在走到驾驶室时，赵女士听到了 巡逻车按喇叭的声音，但来不及了，老虎已经扑过来了。对于为何会在东北虎园下车，赵女士回应说，东北虎园的构造非常混乱，容易给人一种错觉。在看到“禁止下车”警示牌的地方自己并没有下车，而是到了允许下车的休息区才下的车。赵女士告诉记者，自己受伤确实很严重，但并不像网上说的那样下巴被咬掉，“我的腰部、面部、脊椎、牙齿等多部位受伤，右脸有一道20多厘米长的疤痕，面部 神 经受损，牙齿掉了两颗，咀嚼功能受到影响。”赵女士称，目前的医学治疗已经结束，之后右下颌部分有钢板要取出，还需进行一些康复性、整容性的后期治疗，毕 竟自己还这么年轻。赵女士称，“事发当时就应该发声。但是我们充分相信了当地的政府。爱人单位领导和地方政府也一再协调。他们采取迂回战术，这可能是危机公关的手段吧。等调查报告出来之后，动物园就有恃无恐了。动物园说仍在与我们商谈，那是天大的谎言。”对于网上的言论，赵女士称：这是诬陷。任何人都有判断失误的时候，我自己肯定有责任，但我不认同网民的“不作死不会死”这一说法。事发当晚，延庆的朋友圈都在疯传我的消息。看到资料被扒，挺无语的。事发后，赵女士的父亲一直在和动物园的协商。赵先生表示，8月29日，在和八达岭野生动物园协商时，园方提出按照处理交通事故的办法定损、定责、定赔。对于 死者周某，双方协定定损124.5万，并达成一致。家属认为动物园应对周某的死亡承担全部责任，但动物园表示只承担15%的责任，并予以赔偿。对于伤者赵女士，家属一方提出定损150余万，己方承担20%至30%的责任，动物园承担70%至80%的责任；但动物园只认可74.5万，不同意家属提出的精神损 失费和后期治疗费用赔偿。赵先生表示，截至目前，动物园一方也没有给出明确的答复，双方也未达成一致意见。昨天晚上，记者联系到八达岭野生动物园负责宣传的曹先生。对于家属指称的动物园没有及时采取有效救援措施一事，曹先生表示，根据视频显示，巡逻车当时就是过去救援的，事情已经很清楚了，不需要再做出解释。曹先生称，动物园会依据政府结论办事，政府的调查报告非常详细清楚，动物园没有责任，也就不存在赔偿的问题，如果有赔偿的话，也仅仅是出于道义上的。目前， 动物园仍在和家属沟通，但还没有结论，对于事情的进展和双方协商的问题，曹先生表示不方便透露。此外，曹先生说，东北虎园目前仍未开放，具体开放时间还不确定。[“我们要求的只是一个公道，一个澄清事实的机会。”]10月14日，八达岭野生动物园老虎袭人事件受伤者赵女士，接受了澎湃新闻的采访。在谈及事故的赔偿问题时，她表示，“人已经去世了，他就算是赔偿一个亿也好，或者怎么样也好。对于我们来说一条鲜活的生命没有了。受伤的人也是很难恢复以前的那种模样了。所以我们要求的只是一个公道，一个澄清事实的机会。”不过赵女士也表示说自己并非没有责任。她认为，自己的责任在于，一是对周围环境的误判，包括下车的一种草率。事情过去已经有将近3个月时间，赵女士在回忆起事发当时的场景依然十分清晰。她回忆说，那天因为车子走走停停，自己有点晕车。于是，就打算和爱人交换座位，自己来开车。当时，赵女士是一直走到了主驾驶位置之后，后面一辆小红车按了喇叭。但是那个时候老虎就已经向她扑过来了，已经为时已晚了。她说：“大家第一时间看到的就是我下了车，然后救援车辆它又第一时间出现了。但是后面的事情就没有了。”“我爱人也不停地敲打救援车的门。但是他们回应的方式就是，这种情况我们没法救，遇到这种情况我们也不敢下车。”事故消息在网上曝出后，也引发了网上诸多的讨论，更有网友对赵女士恶言相向。对此，赵女士表示，母亲去世的伤痛要大过对于舆论的关心。她认为，最后还是要用事实，用法律最终的判决来证明这些事情。
1,1月13日 09:36 ,小鬼我是一片云809,,只怪自已没吧，嫁武松多好。 
233,2016-11-19 02:12 ,_Yuki猴太,,如果商量好换车的话  两人应该几乎同时下车换座位吧 为何男的还要等女的走过去还迟迟不下车 
234,2016-11-19 02:05 ,泪眼倚楼看花,等待东南季风归来peaking,怎么防范？不让下车，下车了，被老虎叼走了。 哦，防范措施不到位，动物园表示我怎么防范？千算万算算不到有人不要命了。 
235,2016-11-19 01:48 ,泪眼倚楼看花,暴暴蓝_huyu,一般情况人不遵守规则肯定是被约束了或者有利可图，我不知道在动物园里有谁会愿意违背“请勿下车，珍惜生命”这样的规则，或者说违背这样的规则有什么好处。 
236,2016-11-19 01:36 ,小小蘇vv,,还说什么以为已经出园了、因为周围都看不到老虎、2⃣️得很、一个园子里随处可见老虎那还得了、 
237,2016-11-19 01:20 ,J-buster,嘉庆十五爷,为什么说是对宪法的亵渎？ 
238,2016-11-19 01:16 ,王圈圈____,,活该，没咬死算命大，赔个屁钱，下次出门继续送命，别活着浪费国家资源，下次去喂狼好了 
239,2016-11-19 00:43 ,末日炎魔2285064047,,我虽然没在网上评论过，但也觉得什么小三，医闹根本不靠谱，就吵架还有点可能，但也不是一定。看完之后，确实感到园区做的不够，比如车都开过去了，就按个喇叭，还不如不去，我上我也行。肯定有责任。而且还不止一次咬死人，肯定有安全隐患，只是一般人不知道。 
240,2016-11-19 00:00 ,林瑞B,,看了被咬的女生上节目访谈，港真，院方真的没什么责任，一听到别人赔钱少了，就找律师，收集各种园方不好的证据也是够了！！！记得下车的人是你自己，自己在节目里都说，自己是成年人！为自己负责好吗！ 
241,2016-11-18 23:39 ,郑婷韩式半永久纹绣,大荒茶神,到时候不是撞到老虎，可能是伤者 
242,2016-11-18 23:38 ,郑婷韩式半永久纹绣,大荒茶神,我去！还撞老虎，万一一个不小心压倒人了，那就是百分百的全责了！让你赔一千万你信不信啊？ 
243,2016-11-18 23:33 ,SunSven,,院方必须在安保方面大力整改加强了，但是没有义务给作死的人赔钱，可怜的母亲为了救她离世，上个节目情绪还那么淡定←_← 
244,2016-11-18 23:31 ,郑婷韩式半永久纹绣,,野生动物园里不让下车，自己不理解的，可以这样理解大海里乘轮船，不会游泳的可以下轮船到海里游泳吗？ 
245,2016-11-18 23:28 ,郑婷韩式半永久纹绣,嫌你脏2,这个就是规则，动物园里不让下车，就好比大海里不会游泳的不要游泳 
246,2016-11-18 23:28 ,小施丨先森,,这里面很多疑点，随便说一样，既然女受害者说是换座位，为什么是她自己一个人走过去左车门，常理来说在那样的危险地带，不是应该快速完成换驾驶的整个过程吗?视频中她走过去了还跟她爱人谈了些话。这这符合常理吗?换驾驶就换呗，为何她跑过去浪费时间说话，不能在车里说吗? 
247,2016-11-18 22:51 ,用户3873898626,,为什么他们家行车记录仪里的录音不作为证据？为什么他丈夫作为唯一一个全程清醒的当事人不发声，让她一个后半程不省人事的人带伤上阵？凭什么认为她自己那么无辜？ 
248,2016-11-18 22:50 ,鱼鱼宝贝o,,事实证明，只有自己的母亲才会无条件救自己的孩子甚至付出生命。没有别人。 
249,2016-11-18 22:32 ,蓝小染Cc,,最伟大的还是母亲！徒手救下自己女儿！一个虎园那么多老虎！就算麻醉抢打了咬你那只，还有其他老虎呢！又不是神枪手，哔哔哔老虎全倒下！动物园招聘要求还得写打得过老虎吗！ 
250,2016-11-18 21:38 ,诺团子小爷,,我们都不是当事人…或许在某些方面我们不能对你做过多的评论，但你说你承担了一死一伤的重创，觉得够多了不该再遭受其它的。但这是你自己造成的，有些错误就是不能犯，犯了无论后果有多严重你都要去承担…你不能强制要求他人去替你承担那些你不愿承担的后果，因为没有任何人需要提你的错误买单！ 
251,2016-11-18 21:34 ,YONI尤妮,,吵架与不吵架跟她下车不下车没关系！这可是在老虎的地盘！除非车里有人要要你的命，下车和老虎一拼还有生还希望的话可以选择下车！ 
252,2016-11-18 21:33 ,继续愛伱愛伱愛伱,,一个个一边倒，你们是车上的当事人吗，又知道当时的情况吗，是当事人的全错，动物园干嘛让人家父亲能大事化小小事化了，能私了私了呢？ 
253,2016-11-18 21:30 ,至尊无敌璐小宝,hl_花花,这话说的太对了 
254,2016-11-18 21:28 ,至尊无敌璐小宝,,你是成年人，你在下去的那一刻就应该知道后果。你说动物园的急救车没去撞老虎，你老公怎么不去撞？ 
255,2016-11-18 21:19 ,听哭了叫兽的歌还竟然是张信哲,,看了群众众口一词的谩骂，我放心了。原来这个动物园这么多年死这么多人到今天整成这个样子还一点责任没有？去你妈的法治，中国人不配！网上都是守规矩的五好青年，现实里面都这样，我们特么该生活得多舒心啊！ 
256,2016-11-18 20:53 ,继续愛伱愛伱愛伱,暴暴蓝_huyu,口头提醒游客不要怎样，人命关天，并未认真讲解园内猛兽一般出行情况，游客下车是有错在先，巡逻员不敢救，因为他当时根本不知道自己该怎么去救，派个没有经过培训的巡逻员，又能怎样，，， 
257,2016-11-18 20:52 ,继续愛伱愛伱愛伱,暴暴蓝_huyu,a级区的动物园，出事后，居然没有医疗设施及医护人员前往医救，所以是谁出事也是得车送到好远的医院，能救回生命的人都耽搁了！ 
258,2016-11-18 20:31 ,砸掉的回忆还能修复嘛,,哎，一群社会败类，国人真是可悲 
259,2016-11-18 20:24 ,钱包余额不足请及时充值,,如果真是要赔300多万，赵女士下次开着新买的奔驰带着她爹再来一次 
260,2016-11-18 20:05 ,web490,,园务管理？决不能再”一纸签字”的”大新”规程入园！立马整改 禁止”私驾车进入猛兽区”，配备专用防护”猛兽观光车”运营！！！ (明智山有虎_怎么能游客_独自进入猛兽区)？？？ 
261,2016-11-18 20:03 ,_lynnlynn_,,把公园规定当儿戏，错了还怪园方没施救？老虎是猛兽呀！要不也去黄石公园“泡”个野温泉，看美帝救不救。人无知还可以同情，错了还满嘴借口“讨尊严”好意思索巨额赔款，搭上老妈的命，还居然没清醒一下？真是极品啊！ 
262,2016-11-18 19:09 ,张博航2pm,娄娄鞋业vs诚招代理,请注意，我只是举个极端的例子说明问题。公园有效手段的必要性就像是警察手里的枪，医生手里的刀，作家手里的笔一样，这点不能忽视。而这些并不代表我否认伤者在这件事情里的过失 
263,2016-11-18 18:47 ,暴暴蓝_huyu,尐糖粸,重点是园区从规则制定到应急措施都不完善，闯红灯的行人被超速的车撞死了，车是要负责任，退一万步说，闯红灯的人被守法无辜的车撞死了，车都要付一定责任 
264,2016-11-18 18:45 ,娄娄鞋业vs诚招代理,张博航2pm,你见过那个老虎打破车窗了？ 老虎逼近的时候 不会开车走？ 非得挑逗老虎作死？ 
265,2016-11-18 18:05 ,大K好O_o莹仔,大荒茶神,对啊，我也这样觉得，这是这观点会一直被骂 ¡评论配图 
266,2016-11-18 17:52 ,Ghost女帝,,看到网友们都在骂那个该死没死成的女人渣，我也就放心了 
267,2016-11-18 17:49 ,尐糖粸,暴暴蓝_huyu,违反规则的后果难道不是自己承受吗！红灯过马撞死了怪马路吗？ 
268,2016-11-18 17:46 ,青柠檬茶汁,樊祥Victor,人家不是说了吗？20分钟左右就把老虎弄走了，如果真是工作人员的车出问题了，打个救援电话，再在车上呆20分钟等待其他的救援来不就完了，当事人是说动物园的应急救援不够完善，并没说人家动物园没救人，估计动物园也是第一次遇见这么奇葩的事，一下子懵逼了吧，所以事发时当下才只是鸣笛！ 
269,2016-11-18 17:34 ,青柠檬茶汁,用户lzq1p85dje,同感~已无药可救 
270,2016-11-18 17:04 ,谦虚的大大大少,,我想问，在周围都有老虎出没的地方，谁敢当场救援？既然已经抬上车了，正常人为了不耽误时间，肯定直接去医院，毕竟医务室不是医院，加上医务室里应该会有其他游客耽误了医生吧？医务室只为你服务？ 
271,2016-11-18 16:54 ,PDS王攀,,动物园的应急措施明显不行，事故发生后救援车立刻就出现，却什么也做不了，救援车上不要求有枪，也应该有麻醉针或一些可以吓跑老虎的工具，救援人员不要求下车，也应该尽可能的在车上驱赶老虎。如果动物园的应急措施过关，至少可以保证第二个受害者的安全。所以动物园必须负一定责任，而且要好好检讨！ 
272,2016-11-18 16:53 ,PDS王攀,,受害者家属曾说，自己以为已经出了园，但看视频里的环境和走走停停的车，应该不会觉得在园外。个人觉得，受害者擅自下车，应负主要责任。 
273,2016-11-18 16:44 ,Snowden_,,《中华人民共和国侵权责任法》中第十章为饲养动物损害责任，其中第八十一条规定，动物园的动物造成他人损害的，动物园应当承担侵权责任，但能够证明尽到管理职责的，不承担责任。 
274,2016-11-18 16:08 ,plaster林行,,还好意思出来bilibili，难道不是为了要赔偿金？脸皮厚的真不是一般人 
275,2016-11-18 15:50 ,张天真太天真-,,这些键盘侠我也是醉了，根本不了解事情原委然后一味的指责所有的过错都是受害者的，你们看看广东电视台《社会纵横》吧，里面的受害者也承认是自己当时不应该下车，但是作为3a景区，更何况是野生动物园这种危险的地方，该有医疗救助措施有吗？网络的舆论真是够了。 
276,2016-11-18 14:59 ,表姐不是姐,励志锦集,你去啊！你全家都去啊 
277,2016-11-18 14:52 ,一哇钟情,,无论基于什么原因下的车也不能用别人的生命为自己的冲动和无知买单吧 
278,2016-11-18 14:41 ,马卯卯,,危险区自己打开车门，自己走下去，老公都没救你，说你老公开车不好，就别开了，毕竟马路上别人的命也是命。脑子是个好东西，请自备，成年人不要把无知当可爱。别再出来找骂了，还是把心思放在孩子身上吧，这对小孩子心理影响很大，找个有脑子的给孩子做做心理辅导，已经害死了亲妈，别再坑孩子一辈子 
279,2016-11-18 14:34 ,胖子程-,表姐不是姐,赶紧去吧。可以为你争取利益 
280,2016-11-18 13:53 ,遇雨林岚,青柠檬茶汁,脑和心都已经是残缺的了，整了又何用！ 
281,2016-11-18 13:52 ,Baby_王俊凯,暴暴蓝_huyu, 
282,2016-11-18 13:41 ,樊祥Victor,青柠檬茶汁,我关心的不是被咬的人有没有要钱，也不是替当事人洗地。我关心的是如果明天工作人员车辆故障被猛兽袭击是不是也只能靠按喇叭？ 
283,2016-11-18 13:21 ,暴暴蓝_huyu,Baby_王俊凯,我觉得个人是有责任的，不过园区也有很大责任，大家都口诛笔伐这家人，站在道德制高点谴责她，挺让人心寒的。扪心自问，有几人能做到永远不违反规则呢 
284,2016-11-18 13:07 ,Lee落吟,,首先责任就是你私自下车才有了后来的所有事情，你不下车啥事没有，都是你的责任，还想讹钱？这世道，天理难容 
285,2016-11-18 12:55 ,GS日月,地痞大改造,不赞成你的说话，规矩是看情况而说，至少坐船我不会跳海游泳，媒气泄漏我不会打火机抽烟，明知周围有老虎还敢下车矫情，这不是作死节奏么？怪得了谁 
286,2016-11-18 12:49 ,GS日月,,多伟大勇敢的母亲，怎么就有这么脑残矫情的女儿 
287,2016-11-18 12:26 ,Babyer丹,,换位置可以在车里换的吧，别说没见过，不是身材较小吗，能做到吧，别人停那里就是安全区域了？人家不能停车休息下吗？还说巡逻员不下车救你，请问你以为自己是谁，凭什么让人家不要命的去救你？难道你希望人家下车把老虎打死？又不是老虎的错，是你自己的错，凭什么要老虎的命，借口真多，采访她多余 
288,2016-11-18 12:07 ,青柠檬茶汁,白雪abcewqghknbd,估计管理人员也是第一次遇到这种奇葩人奇葩事，一下子懵逼了吧~ 
289,2016-11-18 12:05 ,青柠檬茶汁,白雪abcewqghknbd,签字都不看内容，上面写的清清楚楚的，这也怪别人？再说动物园也并没有一分不赔啊~可是想要别人承担全部责任，借着死人敲竹杠，还提什么整容之类的事情，这在外人看来就很恶劣了！一句恬不知耻不为过！ 
290,2016-11-18 11:56 ,魂斗罗BBQ,用户lzq1p85dje,就是 晕车你就吐啊 
291,2016-11-18 11:53 ,魂斗罗BBQ,表姐不是姐,你家利益是在违反秩序观念的前提下争取的啊？ 
292,2016-11-18 11:51 ,魂斗罗BBQ,风吹雨打任旧灿烂,不一样 孩子还在成长 还需要管教 老师在学校有管教孩子的义务 但一个成年人就应该为自己的过失负责 同情归同情 赔钱动物园也赔了 但你不能以监管不到位 防护不到位来多要钱吧 这是一个野生动物园 动物就是散养的 你也不能希望一个不能配备枪支的管理员 拿着两三千块钱的工资 去跟老虎搏斗吧 
293,2016-11-18 11:45 ,J171209,,是你自己选择花钱买票自驾游，又是自己擅自下车，结果要求动物园关停，说这话的时候心里有底气吗？好好悼念不幸离开的母亲吧 
294,2016-11-18 11:40 ,别闹丶腰不行,,我要是老虎我肯定第一个吃了她 
295,2016-11-18 11:31 ,荒度余生呗,,请各位晕车的小伙伴评论一下她下车的动作行为像不像晕车 
296,2016-11-18 11:29 ,1白雪L,青柠檬茶汁,那个根本不是什么生死状，管理人员并没有指名，而且也只是说让签一个字。在管理人员看见这个突发情况也并没有及时采取措施。 
297,2016-11-18 11:22 ,青柠檬茶汁,925丶户外直播,人家要整容！死三个东北虎加一个妈怎么够？亲~ 
298,2016-11-18 11:19 ,青柠檬茶汁,樊祥Victor,人家动物园也没说一分不赔啊？野兽园这种地方自驾游本来是高风险举动，你要怕死别进去啊！那蹦极也是高风险游戏，就算再告诉你安全措施完善，你咋还是不愿意去跳呢？况且现在是这女的要动物园承担全部责任，嫌赔款少了，要拿她死去的妈敲竹杠这点让大家不满意啊！又没说别的 
299,2016-11-18 11:11 ,青柠檬茶汁,白雪abcewqghknbd,到处都写着禁止下车，而且进去前还签了生死状的，况且当事人都知道自己已经进入了东北虎园，也知道自己还没出来，最重要的是当时后面明明停了一个红车，人家不仅没下车还不断在鸣笛提醒，这种情况她都要下车，这侥幸心理抱的也太大了吧？ 
300,2016-11-18 11:03 ,青柠檬茶汁,涨_爆,自驾车进猛兽园这本来就是高风险举动，进去之前就该有心理准备的，不做好万全的准备就贸然出行这本来就不对，你当你是进去赏花的吗？动物园那么大就算安全措施再完善，也没法保证第一时间过来救你吧！ 
301,2016-11-18 10:53 ,青柠檬茶汁,鱼鱼鱼儿飞走了,多了一个替死鬼，心里总是平衡些嘛~ 
302,2016-11-18 10:52 ,青柠檬茶汁,有个组合叫飞轮海,人家要整容！你没听到吗？ 
303,2016-11-18 10:49 ,普洱市租车,,自己的命自己爱惜，安全保障只是条款，不能施法复命 
304,2016-11-18 10:49 ,青柠檬茶汁,大荒茶神,我去！还撞老虎，万一一个不小心压倒人了，那就是百分百的全责了！让你赔一千万你信不信啊？ 
305,2016-11-18 10:45 ,青柠檬茶汁,hansucceed,再说一次人家要整容！！！范冰冰！懂？ 
306,2016-11-18 10:43 ,青柠檬茶汁,W小小少女,你不知道整容要多少钱吧？你以为想长得像范冰冰一样容易吗？ 
307,2016-11-18 10:41 ,青柠檬茶汁,签约_yaya,人家还没整容呢？你说呢？ 
308,2016-11-18 10:36 ,青柠檬茶汁,用户lzq1p85dje,你没听见她说什么吗？她还没整容呢？整容啊~拜托，整容不要钱吗？所以就只有上节目申冤，推卸责任，利用死去的妈妈赚钱了……不然还能怎么办？你说怎么办？钱怎么赚？你说啊！！ 
309,2016-11-18 10:29 ,冰糖葫芦和兔子,,当事人真的很作死！！但我说一句，外国发生这种事不管什么原因，为了第一保护人身安全是直接枪毙老虎的 
310,2016-11-18 10:25 ,青柠檬茶汁,甜斋凤君子,动物园说这锅我不背！ 
311,2016-11-18 10:24 ,青柠檬茶汁,狼及狼以上的普通村民,估计下次闯红灯被撞了得怪交警了~ 
312,2016-11-18 10:22 ,这个妹妹我曾见过呢,,要不是你下车哪里会有那么多事啊，自己作还要带别人，没脑子 
313,2016-11-18 10:19 ,青柠檬茶汁,我是无所畏惧的TTT呀,这话的另一个意思是如果动物园给我200万，我妈就死值了！可动物园只给了我70万，那我妈就没死值！哎……在天有灵的妈妈啊~您是否觉得死不瞑目？ 
314,2016-11-18 10:06 ,青柠檬茶汁,Baby_王俊凯,哥们，别的我不说，但是至少我会珍惜自己和自己爱的人的生命！！！这是前提 
315,2016-11-18 10:04 ,CocoaZhao,,完整视频我只关注你下车了。 
316,2016-11-18 09:57 ,青柠檬茶汁,洋芋滚滚圆,武松躺枪了…… 
317,2016-11-18 09:56 ,青柠檬茶汁,特曼家的小怪兽,我去！你这孩子，必须赞！ 
318,2016-11-18 09:52 ,青柠檬茶汁,北方汉子的邮局,你说你这孩子怎么这么真像呢？32个赞 
319,2016-11-18 09:49 ,青柠檬茶汁,,枉死的东北虎们你们一路走好，我知道你们也不容易，不过是以为午餐时间提前了而已，结果却成了最后的午餐……阿门，愿上帝保佑你们~😔😔😔 
320,2016-11-18 09:47 ,青柠檬茶汁,,这世界上哪有万无一失的安全措施，自己都不对自己负责还指望谁来对你负责？当初不把事情说清楚，现在又巴巴的跑出来解释不觉得晚了吗？70万嫌少了？250万够不够？你妈上辈子欠你的我都不说了，我只替那几只枉死的东北虎默哀总行了吧…… 
321,2016-11-18 08:46 ,我比直男还直男咋整,,你俩如果真的商量好要换位子不能动作快点嘛？你都下车了你老公还往前开？！这像商量好的吗，都已经这样了还想多要点钱？真是用生命要钱啊，可是用的不是你的命！！！ 
322,2016-11-18 08:43 ,我比直男还直男咋整,,妈都没了还想多讹点钱，人花莲游览车被司机蓄意谋害才赔一百多万，你想要三百万？你的命更值钱吗贱人！真是可怜了你妈妈 
323,2016-11-18 08:38 ,老孙驾到,,明知山有虎偏有虎山行，打不过老虎去怪养虎人。 
324,2016-11-18 08:07 ,小轩窗_o,,难道就我想到了为什么换位置吗。 
325,2016-11-18 07:53 ,签约_yaya,爱歌顿农场小沈阳,昨天晚上和同学玩到半夜才回家，一个人孤独的走在路上，忽然间看到远处一个模糊的身影，我的眼眸顿时湿润了，心里暖暖的，这么晚了，他还在小区门口等我。这是我一生最爱的人，我的父亲…… 就是他手上的棍子让我有点尴尬！ 
326,2016-11-18 06:56 ,熊宝呼啦啦,,动物园遇上这种人也是醉了，估摸现在人就是想利用母亲的死多要点儿钱。真是无耻。 
327,2016-11-18 06:16 ,超级达芬奇,,看自己亲妈被咬死了，自己也经历了那么严重的灾难，应该整个人失声啊恍惚啊自责啊抑郁啊什么的，怎么还在抱怨，居然四个月后又出来给视频配音？你消失了也许还有人同情你⋯⋯这就是渺小而悲剧的人生，可悲可叹 
328,2016-11-18 03:41 ,角角爱吃JioJio,晴天-妍,对啊，就是嫌给的钱少了，我知道。估计一开始听到赔几十万当下觉得好多，回去一算计觉得后悔当初没开口多要点，不平衡了，想再多要几十万🙄🙄🙄所以说这种人救回来也是浪费空气 
329,2016-11-18 03:25 ,囡_小_囡_小囡,小夜叨-,那么多人骂你我就放心了。就你还自称姐，何来的自信. 
330,2016-11-18 02:38 ,付焕焕-Simple,权倾,真的感觉那没死的女人雇了一大批水军啊 
331,2016-11-18 02:35 ,付焕焕-Simple,scindy_15130,对 就不该下车， 理解不了那些说动物园责任的人，也是奇葩太多 
332,2016-11-18 02:29 ,付焕焕-Simple,容克尔87,她肯定觉得动物园赔的少，现在找各种原因把责任往动物园身上推，不想想要不是自己下车怎么会有这么多事，本来她妈妈去世了是很值得同情，但不能说谁是弱者就向着谁，群众的眼睛是雪亮的，只是有些个别的脑回路比较奇葩，林子大了什么鸟都有，我们也要学会理解，哈哈。 
333,2016-11-18 01:48 ,遇雨林岚,固执的思念,都已经丢了生命了，这都不能让她有反思，她更多的是想扳回舆论讨回面子，还有得到更多的赔偿，当然园方管理上也有一定的疏忽，可你丢的是母亲的生命，讨回的更多也无法挽回了！你一个晕车就结束了母亲的生命，没了！ 
334,2016-11-18 01:38 ,爱歌顿农场小沈阳,签约_yaya,光有车和老婆还不够 还得成为一个脑残才能再回答它的问题 
335,2016-11-18 01:22 ,AAAKEMI柯琪,傲娇大米粒儿,科目一考试说遇到牲畜不能按喇叭惊吓，这是找关系拿的驾照吗 
336,2016-11-18 00:42 ,爱动漫的bO,,不能下车的地方下车，没说的，该。 
337,2016-11-18 00:14 ,Pisces蓝色海洋,,请问你脑子没事吧！！你自己惹了事情，你母亲确死了，更可恶的是还有脸赖别人！！谁让你自己下车了？难道人家没有提示吗？难道你没有签协议吗？你自己作死，不要连累别人！你想让别人怎么救你？如果别人真的去救你了，那你就不是活着了，那就也死了！因为没有人能救你这一条命了！你这个sb不会懂的！！ 
338,2016-11-18 00:05 ,固执的思念,用户lzq1p85dje,对规则没有敬畏，这家人以后还会有大麻烦。为啥，她（他）们不反思自己的行为违规，就希望能找到对方的破绽。 
339,2016-11-17 23:45 ,地痞大改造,权倾,他们不守规矩已经自食其果了，但没有害别人吧。难道你一生中从来没有破坏过一次规矩吗？我不知道在这里冷嘲热讽有什么意义？积点口德吧，不是当事人就不要妄加猜测事情原委 
340,2016-11-17 23:45 ,itathata,,赵女士 你的母亲为了救你死了 都唤不回你的良知 你的灵魂早已无药可救 救起了你的肉体真是做的最错的一件事 你母亲真是走的悲惨冤屈 
341,2016-11-17 23:40 ,地痞大改造,青歌iii,你一生中没有破坏过一次规矩吗？留点口德吧 
342,2016-11-17 23:04 ,黑嘿啊吧咋嘿,lethe_zzz,哈哈哈哈哈哈哈服气的！ 
343,2016-11-17 22:49 ,傻乎乎的小爽爽,樊祥Victor,我爹妈教育我别在老虎笼子里下车，别让老虎咬了还讹诈动物园！我爹妈教育我要长脑子，别自己作死还连累亲妈！脑子是个好东西，但愿你能有！ 
344,2016-11-17 22:46 ,尝遍异乡限时赠送的糖,睡觉了喵xx, 
345,2016-11-17 22:43 ,Amy安菲儿,,我们已经不关心这些个死老虎了，我们只关心林丹出轨 
346,2016-11-17 22:40 ,没有昵称哦__,,你付出一死一伤的代价跟别人有鸡毛关系？？谁逼你下车了？？想要讹钱你也是不要个逼脸了。老虎咬完你老虎都不想活了。嫌你太恶心。 
347,2016-11-17 22:38 ,TianJM_Y,,规矩不是平白无故写出来的，无规无矩是要付出代价的 
348,2016-11-17 22:27 ,DCHSH53,,做女的自作自受，如果判她赢，法律得向全国人民有个交代，否则，全国人民应该站起来抗法7。 
349,2016-11-17 22:25 ,wiskis,白雪abcewqghknbd,女的自己任性下车害死妈还没见多伤心就急着要赔钱，动物园人道主义赔了70多万已经够好的了，次要责任！ 
350,2016-11-17 22:24 ,staychaze,,完整的采访视频不知有没有人看过 这女人自己下车出事没什么好说的 但园方也并非一点责任没有 尤其在一开始积极配合赔偿 舆论起来后却又反悔的做法也挺让人恶心 倒是这女人谈吐意外平和有礼 特别是居然有勇气自己出来面对大众…她做了错事 也付出了惨烈的代价 其他就按规矩法理来办吧 
351,2016-11-17 22:24 ,素小可怜,,感觉可恨之人必有可怜之处。可怜那位母亲。哎。凡事不要抱有侥幸的心理就可以避免很多惨剧发生 
352,2016-11-17 22:23 ,白白白痴__,北方汉子的邮局,就喜欢你这种简单粗暴的人 
353,2016-11-17 22:17 ,马卯卯,,你家孩子的同学都应该知道老虎是危险动物了，给孩子也留点面子吧 
354,2016-11-17 22:17 ,用户5678770955,,旁边都写了禁止下车的，你还要下车，自己不尊守纪律要作死怪谁，人巡逻人员不按喇叭难道要下车拉老虎让老虎别咬你啊，老虎听吗 
355,2016-11-17 22:16 ,呦呵Yn,,无所不能的网友们，啥也别说了，人肉她吧！ 
356,2016-11-17 22:12 ,钱浅妈妈,,人家的命不是命，就你的命值钱，为你的母亲惋惜。真的 
357,2016-11-17 22:12 ,金牛叫小帅,,这女的没被咬死只能证明一点祸害遗千年！ 
358,2016-11-17 22:09 ,活得梨子c,,……醉了，人家不停在原地按喇叭，都上去送死？你的命是命？工作人员就活该被咬死？ 
359,2016-11-17 22:03 ,对面的保安看过来c,淘金6,刑罚的轻重应与犯罪的轻重相适应，如果小偷被抓然后就砍手砍头就活该死哪简直太可怕了，人毕竟不是动物，你看视频里救援吉普车好几辆瞎转20分钟就是没采取实质性救援，双方都有责任，也不能一股脑把责任全推给那个下车女吧，期待后续，期待公平… 
360,2016-11-17 21:58 ,爱幻想妞需要正能量,,怎么没完了啊 别出来秀下限了 好吗 反正这位女士就是各种无辜 就是各种要钱呗 
