0,2016-10-16 20:41,【张大伟回国投案自首，为什么追逃爱劝返？】近日，犯罪嫌疑人张大伟回国投案自首。在打击贪官外逃方面,我国主要依靠引渡、遣返、劝返等措施。从实践可看出，许多外逃人员已通过劝返的方式回国接受法律的审判和制裁。什么是劝返？为什么追逃爱劝返？
4814,2016-10-17 08:41 ,兔纸乖乖的呦,,看了三遍大张伟 
4815,2016-10-17 08:41 ,哼哼哈嘿胖虎附体,,还以为大张伟怎么了呢 
4816,2016-10-17 08:41 ,琳子一天啊,,还以为是大张伟 
4817,2016-10-17 08:41 ,8Needu,,我只知道大张伟啊 
4818,2016-10-17 08:41 ,热爱苏斯,,看成了大张伟 
4819,2016-10-17 08:41 ,Neko沒有錢,,哈哈哈99%的人看成大张伟包括我 
4820,2016-10-17 08:41 ,刘菲艳_LFY,,我把和我一样看成是大张伟的都赞了一遍 
4821,2016-10-17 08:41 ,趣多多不吃豆_,,看成了大张伟 
4822,2016-10-17 08:41 ,大水冰月月月月月,,只有我看成大张伟么 
4823,2016-10-17 08:41 ,yyyyyy可樂,,差点看成大张伟 
4824,2016-10-17 08:41 ,紫藤花第一个网名,,我看成大张伟了 
4825,2016-10-17 08:41 ,勿薄,,看到这么多大张伟我就放心了…… 
4826,2016-10-17 08:40 ,张宝宝想要一片天,,我以为大张伟。但是又觉得名字别别的。也是没sei了。 
4827,2016-10-17 08:40 ,萱毅_LOVE,,吓了我一跳，看成了大张伟 
4828,2016-10-17 08:40 ,土匪灬唱情歌,,大张伟 张大伟，厉害了 
4829,2016-10-17 08:40 ,sun是我爱豆,,看成大张伟[震惊] 
4830,2016-10-17 08:40 ,阿耶啊_,,好吧，我承认我第一眼看错了 
4831,2016-10-17 08:40 ,芒果Core,,大张伟犯什么事了 
4832,2016-10-17 08:40 ,Jealousy_x,,猛一看 以为大张伟抄袭被抓了 
4833,2016-10-17 08:40 ,_丁大仙儿_,,我以为大张伟 或是 张国伟 
4834,2016-10-17 08:40 ,韩沉的女友小板面,冰饼冰饼冫水, 哈哈哈哈哈哈哈哈哈哈大张伟张大伟 
4835,2016-10-17 08:40 ,sunny_窝,,有多少人看成了大张伟？我相信不止我一个。。。 
4836,2016-10-17 08:40 ,忙着变可爱吖,,大张伟无辜躺枪 
4837,2016-10-17 08:39 ,8821个爱你,,看成大张伟了！迅速我就点进来看看！ 
4838,2016-10-17 08:39 ,Qyx-my,,我就进来看看有多少人跟我一样看成了大张伟 
4839,2016-10-17 08:39 ,斑马灰灰,,看成了大张伟 
4840,2016-10-17 08:39 ,洒脱O红颜,吴邪带我回家V,我也是 
4841,2016-10-17 08:39 ,_大雯子_,,看成大张伟了 
4842,2016-10-17 08:39 ,忆思宛,丨ZHANGYANG丨,不是大张伟，是张大伟 
4843,2016-10-17 08:39 ,Ron的肉花花,,直接看成大张伟 
4844,2016-10-17 08:38 ,皇甫红妹,,第一次见热评这么统一，全都是大张伟😂 
4845,2016-10-17 08:38 ,_xxx_yinshuer,,不止我一个人看成大张伟的吧 
4846,2016-10-17 08:38 ,LilyrenP-,,看成大张伟投案自首 
4847,2016-10-17 08:38 ,我心__悠然,,第一眼看成大张伟 
4848,2016-10-17 08:38 ,Jarryd_Roin,,我还以为大张伟终于承认多年抄袭了 
4849,2016-10-17 08:38 ,Liuies--,,以为大张伟。 
4850,2016-10-17 08:38 ,咖米乐,,大张伟回归投案自首 
4851,2016-10-17 08:38 ,檬檬麻麻AA,,只有我一个人看成大张伟吗 
4852,2016-10-17 08:38 ,在下可是一股清流阿,大张伟, 
4853,2016-10-17 08:38 ,Soya_林,,看成大张伟的肯定不止我一个。 
4854,2016-10-17 08:38 ,leehom8023的天涯,,一下看成大张伟。。。。。 
4855,2016-10-17 08:38 ,唉吃瓜皮的皮皮虾,,所有人都看成大张伟了嘎嘎嘎 
4856,2016-10-17 08:38 ,你家小豆,,靠，我还以为是大张伟 
4857,2016-10-17 08:37 ,一位不愿透露姓名的雯丫头,,我看成大张伟了 
4858,2016-10-17 08:37 ,沈清巴拉巴拉,,竟然一眼看成大张伟 
4859,2016-10-17 08:37 ,淼卟咯言,,有多少人看成了大张伟 
4860,2016-10-17 08:37 ,二四污,,我特么也看成大张伟了 还很诧异的点开看 
4861,2016-10-17 08:37 ,意义丶是你,,我以为大张伟。。。 
4862,2016-10-17 08:37 ,于珍珠Lynn,,大张伟➕1 
4863,2016-10-17 08:37 ,安於爾一個滨,#法医秦明#,减肥神剧→_→1-6集已看完需要的滴滴我+Vslhy0201 
4864,2016-10-17 08:37 ,你用单手遮住了我的眼Yi,,冲着大张伟来的 
4865,2016-10-17 08:37 ,桔子卤,,我居然看成了大张伟 
4866,2016-10-17 08:37 ,追风少女阿狗,,总感觉是大张伟🙈 
4867,2016-10-17 08:37 ,石月溪,,大张伟躺枪。 
4868,2016-10-17 08:37 ,嘎宝宝好开心,,原来不止我一个 
4869,2016-10-17 08:36 ,流殇微凉M,,玛德，看成大张伟 
4870,2016-10-17 08:36 ,goooleen,,我杂一看  以为是大张伟  哎呀 妈呀 
4871,2016-10-17 08:36 ,傻乎乎的小爽爽,,原来这么多人和我一样！都看成大张伟啦！哈哈哈哈！ 
4872,2016-10-17 08:36 ,小乔留睡我家,,我看成大张伟 
4873,2016-10-17 08:36 ,Z-gsq,,告诉我不是我一个人看成大张伟了 
4874,2016-10-17 08:36 ,紫冰零落,,看错咯，以为此大张伟，非此大张伟 
4875,2016-10-17 08:36 ,lnuyasha白,,同上 
4876,2016-10-17 08:36 ,Hello洋子酱,,大张伟咋了 
4877,2016-10-17 08:36 ,嘎嘎JyZh,,标题有毒，第一眼都看成大张伟 
4878,2016-10-17 08:36 ,周丸子的-c_heung,吃土少女周丸子, 我还以为大张伟 
4879,2016-10-17 08:36 ,啵啵的小仙女呀,,原来不止我一个人看成大张伟 
4880,2016-10-17 08:36 ,赵小小小小小一,,吓死我了，以为大张伟 
4881,2016-10-17 08:35 ,你好榆林,,我以为是大张伟 
4882,2016-10-17 08:35 ,辰小夕的,,看成了大张伟，呵呵 
4883,2016-10-17 08:35 ,叫你一声大哥你敢答应嘛,,‍把张大伟看成大张伟的‍举个✋🏻 好嘛😒 ， 
4884,2016-10-17 08:35 ,爱萝莉丿真是太好了,,大张伟 
4885,2016-10-17 08:35 ,Tripneasy旅行同学,,我左看右看，还以为是大张伟呢！我的天呀... 
4886,2016-10-17 08:35 ,有想法的佩奇,,看错大张伟 
4887,2016-10-17 08:34 ,疯狂出差的小梅子,,我第一眼看成了大张伟 
4888,2016-10-17 08:34 ,梦里何处寻云归,,全都看错了呀 
4889,2016-10-17 08:34 ,八月有个小梨涡,,我还以为是大张伟..... 
4890,2016-10-17 08:34 ,小姑娘失了智,,我竟然看成了大张伟…… 
4891,2016-10-17 08:34 ,水拂袖,,看成大张伟，神之尴尬 
4892,2016-10-17 08:34 ,他呢我的,,吓死还以为是大张伟 
4893,2016-10-17 08:34 ,JacksonYee的楠楠,,大张伟 
4894,2016-10-17 08:34 ,瓶子是个小透明,,看成大张伟＋1 
4895,2016-10-17 08:34 ,记忆中你妖娆的脸,,同 大张伟 
4896,2016-10-17 08:34 ,寻找格尔达,,卧槽我以为大张伟怎么了 
4897,2016-10-17 08:34 ,诗古诗的诗,,真的  看几遍都是大张伟 
4898,2016-10-17 08:34 ,我是苗苗呀98,,我特么看成大张伟了，吓死额了😪 
4899,2016-10-17 08:34 ,王鹤棣是我宝贝,,哈哈哈哈 全是大张伟😂 
4900,2016-10-17 08:33 ,这最暖的冬季,,我也是惊呆了，这新闻真够吓人的 
4901,2016-10-17 08:33 ,我说凌宝儿你说到,,吓我一跳我以为是大厉害那 
4902,2016-10-17 08:33 ,那年那月那日某年某月某日,,看成大张伟了 
4903,2016-10-17 08:33 ,Pink旺,,还以为大老师出什么幺蛾子了 
4904,2016-10-17 08:33 ,Teddy-CY,,吓我一跳，我还以为是大张伟 
4905,2016-10-17 08:33 ,大饼子__呀,,我特么就是以为大张伟来看的，我也说他犯啥事了。 
4906,2016-10-17 08:33 ,yrddfjyjh,,我第一眼“大张伟” 
4907,2016-10-17 08:33 ,力大无穷觉得昵称太长不好你说呢,,看成大张伟+1 
4908,2016-10-17 08:33 ,清淡歡顏小女籽,,大张伟 
4909,2016-10-17 08:33 ,-不明不白也不甜,,我也看成了大张伟 
4910,2016-10-17 08:33 ,2018小海豚baby,,我以为大张伟了 
4911,2016-10-17 08:33 ,扎逗比的小辫子,,大张伟😱😱😱 
4912,2016-10-17 08:33 ,斐不知姓,,我还在想人怎么不对啊😂 
4913,2016-10-17 08:33 ,我是不是林子,,大张伟躺枪 
4914,2016-10-17 08:33 ,zdove,,吓死我了…… 
4915,2016-10-17 08:32 ,不会撩妹的吴彦祖,,看成大张伟的赞我 
4916,2016-10-17 08:32 ,张琳儿R,,看了好几遍都是大张伟，还奇怪他怎么了还自首 
4917,2016-10-17 08:32 ,W-四仰,,我瞪俩大眼就看成大张伟了。 
4918,2016-10-17 08:32 ,抱蜜罐的小熊,,我以为。。。大张伟 
4919,2016-10-17 08:32 ,多多多小多儿,,艾玛我看成了大张伟 
4920,2016-10-17 08:32 ,道书秋水,,大张伟，你赶紧自首！ 
4921,2016-10-17 08:32 ,网络偷心高手,,哈哈哈以为大张伟 
4922,2016-10-17 08:32 ,甜杨_,,看成大张伟了 
4923,2016-10-17 08:32 ,狐狸君123,,我也看成大张伟 
4924,2016-10-17 08:32 ,鑫阳2037,,我特么以为大张伟怎么了~ 
4925,2016-10-17 08:31 ,A婉容,,冲着大张伟来的 
4926,2016-10-17 08:31 ,Sunderelily,,吓得我手机掉地这抄袭还得去投案? 
4927,2016-10-17 08:31 ,酒奺-,,以为是大张伟 
4928,2016-10-17 08:31 ,免我四下流离_,,尼玛大张伟。。。我本来还想说我对他太失望了 又仔细看了一看 哦不是 
4929,2016-10-17 08:31 ,Nicole·J,,😂热搜要变成大张伟了 
4930,2016-10-17 08:31 ,阿giao粉丝团团员,,笑死我了  大张伟 
4931,2016-10-17 08:31 ,天使丹梦,,我还很认真的看了一遍，边看边想大张伟犯什么事了，后来，又看了一遍，哦，是张大伟 
4932,2016-10-17 08:31 ,胡桃夹子zRJ,,看成大张伟的赞我，包括刚刚我还一本正经的在心里默读大张伟………… 
4933,2016-10-17 08:31 ,二藏先生,,妈妈呀，第一反应大张伟他妈的干了什么事儿，回哪国投案自首 
4934,2016-10-17 08:31 ,那些你佷冒险的梦,,大张伟+1 
4935,2016-10-17 08:30 ,李茉L1991,,看成大张伟的不是我一个人 
4936,2016-10-17 08:30 ,BIG丶小图,,大张伟躺着中枪  好无辜 
4937,2016-10-17 08:30 ,彭二小姐YY,,妈的 一大早的 我以为大张伟犯什么事了呢 
4938,2016-10-17 08:30 ,我是你们的罗伯伯,,我看成大张伟 
4939,2016-10-17 08:30 ,都取关吧hh,,妈的，要搞事情啊！吓死我了，还以为我大老师犯啥事了 
4940,2016-10-17 08:30 ,米宝宝爱麻麻,,大张伟，张大伟 
4941,2016-10-17 08:30 ,不妨大爱,,我看成是大张伟了 
4942,2016-10-17 08:30 ,睡懒觉的喵An,,原来不是我一个人看成大张伟！ 
4943,2016-10-17 08:30 ,一只橙_,,看成大张伟的不是我一个 
4944,2016-10-17 08:30 ,水火之中-,,对不起我已经不认识张伟这俩字了 
4945,2016-10-17 08:30 ,张小二tuu,,我看成大张伟  
4946,2016-10-17 08:30 ,anTonybig,,哈哈哈哈 
4947,2016-10-17 08:30 ,恋你霎那芳华,,大张伟，你究竟怎么了？为什么要跟人家重名😂😂😂 
4948,2016-10-17 08:30 ,DonGJiaYuD,,看成大张伟了……我却 
4949,2016-10-17 08:30 ,大脑袋RedQueen,,我也以为是大张伟 
4950,2016-10-17 08:30 ,王星辰QAQ,,我以为是大张伟 
4951,2016-10-17 08:29 ,一个成功的人要学会坚持,,我也看成大张伟了！服了 
4952,2016-10-17 08:29 ,向梦使巧曼,,种类齐全   O网页链接 
4953,2016-10-17 08:29 ,路漫青阳,,真的以为是大张伟 
4954,2016-10-17 08:29 ,朱嘉燚Monkey,,第一眼看成大张伟，第二眼还是大张伟，第三眼还是我决定看一下图片，然后知道错了，再去确定一下名字，然后我就放心了 
4955,2016-10-17 08:29 ,黄论论,,大张伟 
4956,2016-10-17 08:29 ,是阿柔啊,你有没有梦想-Gsf, 233看成大张伟 
4957,2016-10-17 08:29 ,大王叫我来巡山那emp,,看成大张伟 
4958,2016-10-17 08:29 ,胡萝卜超难吃,,我以为是大张伟 
4959,2016-10-17 08:29 ,冰可乐小风扇,,大张伟，张大伟傻傻没看清啊 
4960,2016-10-17 08:28 ,TANGL_in,大张伟的, 
4961,2016-10-17 08:28 ,画本子的Ming,,看成大张伟😂😂😂 
4962,2016-10-17 08:28 ,李晓晓满,,只有我一个人看成了大张伟？？ 
4963,2016-10-17 08:28 ,曼珠沙华_本二哈,,大张伟 
4964,2016-10-17 08:28 ,依梦摆渡人,,这个宝宝为嘛还是满脸满足的。。。 
4965,2016-10-17 08:28 ,Choo_Yan,,妈的第一反应是大张伟 
4966,2016-10-17 08:28 ,Tragic_蓉,,我特么第三次看到他的新闻，三次全看成大张伟 
4967,2016-10-17 08:28 ,机器小怪物77-,,看成大张伟的抱紧我！！！ 
4968,2016-10-17 08:28 ,巴卫的小白兔,,一嘚瑟看成大张伟。吓死我了 
4969,2016-10-17 08:28 ,还能愉快的起名吗,,我以为是里约奥运会跳高那个，张国伟？ 
4970,2016-10-17 08:28 ,社会你桢姐姐,,我把说看成大张伟的都赞了一遍 
4971,2016-10-17 08:28 ,D多情人,,我还以为大张伟 
4972,2016-10-17 08:28 ,如花美不美美,,看成了大张伟 
4973,2016-10-17 08:27 ,JC涛1998,,第一眼看成了大张伟…… 
4974,2016-10-17 08:27 ,靖哥哥爱吃鱼,,擦，看成大张伟了 
4975,2016-10-17 08:27 ,MarryJunies_,,看成了张国伟自首 第一想起奥运会的跳高选手张国伟 
4976,2016-10-17 08:27 ,橘里藏着猫,,我觉得N个人看成了大张伟包括我 
4977,2016-10-17 08:27 ,龙猫的猫啊,,所以现在贪官都不判死刑了，怕卷款潜逃。 
4978,2016-10-17 08:27 ,苏文开,,哈哈 大早上的以为大老师怎么了呢 
4979,2016-10-17 08:27 ,丽丽芝麻,,居然看成大张伟，说来赞一下，不是我一个人看错 
4980,2016-10-17 08:27 ,ly劉岩霖曦,大张伟, 竟然看成了大张伟，吓我一大跳 
4981,2016-10-17 08:27 ,爱因斯汀,郑Zz倩, 
4982,2016-10-17 08:27 ,琨叔不是鲲,,原来不止我一个看成大张伟 
4983,2016-10-17 08:26 ,怡宝Li,,吓死我了，我还以为是大张伟，还好 
4984,2016-10-17 08:26 ,你的心3,,哈哈哈看成大张伟 
4985,2016-10-17 08:26 ,-轻独,,这么多人都看成大张伟啊…………… 
4986,2016-10-17 08:26 ,你们眼里的小仙女,,看成了大张伟 
4987,2016-10-17 08:26 ,电锯甜心s,,看成大张伟 
4988,2016-10-17 08:26 ,myf马伊凡,,先是看成大张伟，之后又是张国伟😂😂 
4989,2016-10-17 08:26 ,一位不愿意透露姓名的徐女士,,看成大张伟的绝对不止我一个！ 
4990,2016-10-17 08:26 ,爱吃汤包的喵,,我以为大老师咋滴了 
4991,2016-10-17 08:25 ,pome光感,,只有我一个人看成大张伟吗 
4992,2016-10-17 08:25 ,珂阿珂JK,,我看成大张伟了 
4993,2016-10-17 08:25 ,城市taolu深我要回农村,,😂😂😂😂😂😂大张伟咋了  原来是看错了 
4994,2016-10-17 08:25 ,这孩子有点儿葛,七月de雨季, 我第一眼就看成了大张伟我说这孩子怎么了 
4995,2016-10-17 08:25 ,KeKa美呀,,我以为是大张伟。oh no 
4996,2016-10-17 08:25 ,xxxx的辛怼怼,,肯定不止我一个人看成大张伟 
4997,2016-10-17 08:25 ,_不吐槽会死星人_,,卧槽 一不小心惊诧了 想说大老师这把玩儿的大啊 
4998,2016-10-17 08:25 ,是你的乐乐,,看成大张伟！吓死了！ 
4999,2016-10-17 08:25 ,天艺酒店,,张大伟回国投案自首，看成了大张伟，看来要洗眼睛了告诉我不是我一个人看错的点个赞 
5000,2016-10-17 08:25 ,村长是女神,,我看成了张大伟 
5001,2016-10-17 08:25 ,湛-圆谛,,我真以为是大张伟 
5002,2016-10-17 08:24 ,千琴蹿尔珍,,手机，在线看   ¡评论配图 
5003,2016-10-17 08:24 ,Emily姜姜姜,,我还以为大张伟遭了 
5004,2016-10-17 08:24 ,RemeoWang,,还以为大张伟😥白高兴。。。想着终于有人能管管那张嘴不用我们揍他了 
5005,2016-10-17 08:24 ,Kelly小姑娘,,难道不是我一个人看成大张伟了吗 
5006,2016-10-17 08:24 ,长颈鹿的小短腿啊,,大张伟要犯事啊 
5007,2016-10-17 08:24 ,林伟平家的小酸菜,,哈哈哈哈哈哈哈人人看成大张伟 
5008,2016-10-17 08:24 ,听民谣的余文樂,,看成大张伟 
5009,2016-10-17 08:24 ,qzdsegyt,,图片评论 ¡评论配图 
5010,2016-10-17 08:24 ,一人一城t,,我特么还以为是大张伟 
5011,2016-10-17 08:24 ,亲爱的小艾利克,,我看成大张伟了 
5012,2016-10-17 08:24 ,GetSomeAir2002,chwwhchcwhwcwch, 
5013,2016-10-17 08:24 ,迎海翘夜山,,想看的[听音乐]全都有[好激动]   O网页链接 
5014,2016-10-17 08:24 ,淼聚宝小仙女,,我知道肯定很多人第一眼看成了大张伟 
5015,2016-10-17 08:24 ,_孟倩,,我去，我还想大张伟犯什么事了，点开评论才知道看错了 
5016,2016-10-17 08:24 ,httpsblogcsdnnetqq312054872,大张伟, 你怎么了？少爷搞你吗？ 
5017,2016-10-17 08:23 ,天远大人,,我以为大张伟咋了…… 
5018,2016-10-17 08:23 ,萧山豹女,,莫名躺枪的大张伟 
5019,2016-10-17 08:23 ,吃了大力水手的_菠菜,,看成大张伟的，你们不是一个人！！ 
5020,2016-10-17 08:23 ,山海不平w,,还好不止我一个人眼挫。。 
5021,2016-10-17 08:23 ,来自喵星的欧尼QAQ,,只有我看成了大张伟？？？？一脸懵逼 
5022,2016-10-17 08:23 ,光一如往常,,看成了大张伟  心里还一哆嗦 
5023,2016-10-17 08:23 ,惠妃的妹纸,,猛然一看“大张伟”一直疑惑的看完所有 
5024,2016-10-17 08:23 ,正在迷路中的麋鹿,,有谁和我一样看成大张伟的 
5025,2016-10-17 08:23 ,耿阿阿阿阿鑫,,我以为大张伟呢，吓老子一跳 
5026,2016-10-17 08:23 ,铮妍_,曹moon, 
5027,2016-10-17 08:23 ,459个郭,,哈哈哈哈看成大张伟 
5028,2016-10-17 08:23 ,YJ__Lu_,,看成大张伟 
5029,2016-10-17 08:22 ,慌张张karida,,天，看成大老师了！吓一跳 
5030,2016-10-17 08:22 ,吴纪麻辣油,,我以为大张伟 
5031,2016-10-17 08:22 ,Katyusha_Beilschmidt,,完了看成大张伟  
5032,2016-10-17 08:22 ,牪奶,,我把评论看成大张伟的都赞了一遍 
5033,2016-10-17 08:22 ,是小美阿,,请原谅我看成了大张伟@大张伟
5034,2016-10-17 08:22 ,·葡萄皮儿·,,还以为是大张伟，原来我不是一个人 
5035,2016-10-17 08:22 ,TingtinXu,,看成大张伟，我去 
5036,2016-10-17 08:22 ,瞬息万变555,,艹，还以为大张伟 
5037,2016-10-17 08:22 ,海亚海亚HIAHIA,,我说大张伟昨天怎么没在蒙面唱将里出现啊，原来自首去了 
5038,2016-10-17 08:22 ,Mmmmm0_,,全都是大张伟。。。没错  我也看成了 
5039,2016-10-17 08:22 ,LuuCheng陈,,看成大张伟了，原来不是我一人😂😂😂😂 
5040,2016-10-17 08:22 ,阿7七阿,,看成大张伟 
5041,2016-10-17 08:22 ,石目, 别的话几乎没有。大老师真红, 
5042,2016-10-17 08:22 ,肖失在黎明,,我也以为是大张伟😂 
5043,2016-10-17 08:22 ,是你的张星星,,大张伟你怎么了？？？ 
5044,2016-10-17 08:21 ,IMssing_,,我也是吓一跳 真是 
5045,2016-10-17 08:21 ,白桃乌龙五分甜,跨湖桥头的炸鸡能手,评论都是调侃大老师的 
5046,2016-10-17 08:21 ,南方有只鹅,,没错第一眼就是大张伟 
5047,2016-10-17 08:21 ,高二哥的日月星辰waitting,,看成大张伟，我寻思这大老师烦什么事了、这是我第二次看成大张伟、 
5048,2016-10-17 08:21 ,门终于坏了,,还以为大张伟又出什么幺蛾子 
5049,2016-10-17 08:21 ,体育老师超帅,,我他妈看成大张伟 
5050,2016-10-17 08:21 ,一路庚随SUJU,,麻蛋，看成大张伟的原来不是我一个，点开图还懵逼的想这不是大张伟啊，难道重名？再看，我眼瞎。 
5051,2016-10-17 08:21 ,宝蓝妖慕梓寒,,我还以为大张伟，点进来才知道不是 
5052,2016-10-17 08:21 ,WuPInGbb,,我大老师咋啦 
5053,2016-10-17 08:21 ,黄_佳伟,,大张伟 
5054,2016-10-17 08:21 ,nidemeijiang-,,告诉我第一眼看成大张伟的人不止我 
5055,2016-10-17 08:21 ,愿风裁尘微凉,,我看成大张伟了  吓死宝宝了 
5056,2016-10-17 08:20 ,饭团肉丸,,第一眼大张伟的飘过 
5057,2016-10-17 08:20 ,木子么么么,,原谅我看成了大老师 
5058,2016-10-17 08:20 ,_XL的逗逼男票装高冷,,看标题一度以为大张伟因为抄袭出国潜逃了 
5059,2016-10-17 08:20 ,奥Li奥Li奥利奥,,妈的看成了大老师 
5060,2016-10-17 08:20 ,ZHanGAAAAAA-QiaN,张Fairy倩, 看成大张伟了 吓我一跳 
5061,2016-10-17 08:20 ,肖二水s,,😂 😂 😂 看成大张伟了 
5062,2016-10-17 08:20 ,聪儿与sy的缘,,我怎么看成张国伟了 
5063,2016-10-17 08:20 ,云享花容0,,还以为大张伟， 
5064,2016-10-17 08:20 ,嘉熠Jennie,,一眼看成大张伟的请赞我！👍 
5065,2016-10-17 08:20 ,-炎海LL,,肯定不只我一个看成了大张伟 
5066,2016-10-17 08:20 ,月照千,,看成大张伟 
5067,2016-10-17 08:20 ,贝贝的派大星,甜甜鱼奔向幸福生活,抱紧你 ¡评论配图 
5068,2016-10-17 08:20 ,誓言诺言甚至谎言,,第一眼看成大张伟！ 
5069,2016-10-17 08:20 ,今日的我不可愛,,吓我，大张伟 
5070,2016-10-17 08:20 ,狗奴粉我是你网红爹,,日你妈这b名 
5071,2016-10-17 08:20 ,走向海风,,一眼看成大张伟   吓到我了 
5072,2016-10-17 08:20 ,阿真欸,,肯定不是我最後看成大張偉的🌚 
5073,2016-10-17 08:20 ,Huooooooooo,,看成了大张伟 
5074,2016-10-17 08:19 ,喵喵小姐王呆呆,,我看成张国伟 
5075,2016-10-17 08:19 ,-Abbyjia,,我看错字，以为是大张伟。 
5076,2016-10-17 08:19 ,社会你大建哥灬,,大张伟怎么了？ 
5077,2016-10-17 08:19 ,夜袭寡妇木寸i,,看成大张伟的不只我一人吧 
5078,2016-10-17 08:19 ,周杰伦没有鱼,,卧槽大张伟 
5079,2016-10-17 08:19 ,CaRoLsTiMe,,不好意思看成了大张伟 
5080,2016-10-17 08:19 ,Jeffrey_1,,大张伟出事了？ 
5081,2016-10-17 08:19 ,一卷长发,,总看成大张伟 这人一上热搜就看错 
5082,2016-10-17 08:19 ,你聽鹿鳴,,吓死我了！我还纳闷呢大张伟啥时候当官了 
5083,2016-10-17 08:18 ,你只是隐藏得比较深而已,,卧槽，我还以为大张伟呢 ¡评论配图 
5084,2016-10-17 08:18 ,耶_收下你的小花,,我去！一眼看成大张伟 
5085,2016-10-17 08:18 ,圆滚滚的媛小猪,,绝对不是只有我一个看成了大张伟 
5086,2016-10-17 08:18 ,花哼嘻,,我以为是大张伟。。。。。。 
5087,2016-10-17 08:18 ,哆啦咩梦,,还好不是我一个人看成了大张伟 
5088,2016-10-17 08:18 ,曰取酉告白勺小仙女,,搞事情啊真的是 我还以为是大张伟！ 
5089,2016-10-17 08:18 ,颖爱璇,,看成了大张伟 
5090,2016-10-17 08:18 ,肆意生长的阿辞酱丶,,看到你们都在说大张伟我就放心了 
5091,2016-10-17 08:17 ,Lettheskyfall,,大张伟，。。。 
5092,2016-10-17 08:17 ,Gjfjko,,吓我一跳以为是大张伟 
5093,2016-10-17 08:17 ,哈呀小米辣,,追逃爱劝返？那个爱是什么意思？？？ 
5094,2016-10-17 08:17 ,掉进厕所里的猫,,热搜评论和刚才的评论都是说看成大张伟了😂好吧 我也以为是大张伟 以为张大伟是他的正式称呼 
5095,2016-10-17 08:17 ,孤单在左不耐温良,,看成大张伟的不止我一个 
5096,2016-10-17 08:17 ,多啦12梦,,有谁和我一样看成了大张伟。。。举个手[互相膜拜] 
5097,2016-10-17 08:17 ,才不怕呢_,,看成大张伟。。 
5098,2016-10-17 08:17 ,三年二胎周杰伦同学,,看了评论才反应过来，张大伟不是大张伟 
5099,2016-10-17 08:17 ,你演累了吗我眼累了-_-,,吓死我了，我以为是大张伟 
5100,2016-10-17 08:17 ,一湖皮卡丘,,吓死我了我以为大张伟 
5101,2016-10-17 08:16 ,一见茶蛋误终身,,原来所有人都跟我一样哈哈哈哈～大家以前上学的时候都总读叉题吧哈哈哈 
5102,2016-10-17 08:16 ,常丽丽,,我居然把它看成了大张伟 
5103,2016-10-17 08:16 ,妮妮柠,,我还在想大张伟到底犯了什么事 
5104,2016-10-17 08:16 ,若能回到当初丶也未必厮守,,为什么我第一反应大张伟 
5105,2016-10-17 08:16 ,preciousJ3,,看成大张伟的举手🙋 
5106,2016-10-17 08:16 ,Kstaceyxx,,不止我一个人看成了大张伟。。。 
5107,2016-10-17 08:16 ,叫我金蛋蛋,虎皮小青椒, 大张伟犯事了 
5108,2016-10-17 08:16 ,带着猫粮去旅行,,第一眼看成了大张伟😳 
5109,2016-10-17 08:16 ,Liu别扭123,,卧槽 我还以为是大张伟 
5110,2016-10-17 08:16 ,开普敦小夜猫,,看成了大张伟………… 
5111,2016-10-17 08:16 ,清绘酱大虾,,我是一眼看成张国伟 
5112,2016-10-17 08:16 ,到底是马大哈还是大马哈,,大张伟 
5113,2016-10-17 08:16 ,粉嘟嘟的小摇摆姐姐,心疼大张伟差点躺枪, 
5114,2016-10-17 08:16 ,木子女青--1119,,看成大张伟了 
5115,2016-10-17 08:16 ,敢不敢让我改一次昵称,,特么我看成了大张伟 
5116,2016-10-17 08:16 ,桑代卡的猫,,乍一看以为大张伟，吓死宝宝了 
5117,2016-10-17 08:15 ,表情包博主胡一天,,点进来才发现不是大张伟 
5118,2016-10-17 08:15 ,逗逼青年的乐趣,,我看成了大张伟🙄🙄🙄🙄害我吓一跳 
5119,2016-10-17 08:15 ,Euro_王,,我以为大张伟说段子出事了？ 
5120,2016-10-17 08:15 ,仅支持数字,,图片评论 O网页链接 
5121,2016-10-17 08:15 ,相公的乖乖小娘子zzzz,wqhneversaynever,我就问给代言费没 
5122,2016-10-17 08:15 ,FaaatTIng,,原来我不是一个人啊 
5123,2016-10-17 08:15 ,-七重,,有谁和我一样第一眼看成了大张伟 
5124,2016-10-17 08:15 ,chengchen丶晨,,好吧，看一眼我以为大张伟 
5125,2016-10-17 08:15 ,闭上你的嘴好么,,看成了大张伟😂😂 
5126,2016-10-17 08:15 ,Dora-y-,,看成大张伟什么鬼！ 
5127,2016-10-17 08:15 ,Ivy阿非错,,大老师啥时候去当官了，还贪污？ 
5128,2016-10-17 08:15 ,紫安友思卉,,[bm可爱]最-新-最-全[啦啦]   ¡评论配图 
5129,2016-10-17 08:15 ,励志追到一枚兵哥哥,,看成大张伟 
5130,2016-10-17 08:14 ,是我老江啊,,很认真的想了一下那名歌手叫什么来着，张什么伟？张小伟？哦哦，大张伟…… 
5131,2016-10-17 08:14 ,番茄鱼QAQ,,第一眼看成大张伟 也是没谁了 
5132,2016-10-17 08:14 ,潮搭小可爱,,吓死我了第一眼看成了大张伟~ 
